Work Item Type,Title,Test Step,Step Action,Step Expected,COS Reference
Test Case,FUNC-01: Update Project Activity Schema,,,,,
, ,1,Open Project Activity edit form,"Verify ""Assets"" tab is present and populated with relevant data",
, ,2,"Search for assets in the ""Assets"" tab",Verify search results are pre-filtered based on selected systems and subsystems,
, ,3,Assign assets to the project activity,"Verify assigned assets are saved and displayed in the ""Assets"" tab",
Test Case,FUNC-02: Parent Tag Dropdown,,,,,
, ,1,Open Project Activity edit form,"Verify ""Parent Tag"" dropdown is present and populated with relevant data",
, ,2,Select a parent tag from the dropdown,"Verify selected parent tag is saved and displayed in the ""Parent Tag"" field",
Test Case,FUNC-03: Suggested Date Field,,,,,
, ,1,Open Project Activity edit form,"Verify ""Suggested Date"" field is present and populated with relevant data",
, ,2,Enter a suggested date and reason,"Verify suggested date and reason are saved and displayed in the ""Suggested Date"" field",
Test Case,FUNC-04: Systemization/Location Checkbox Lists,,,,,
, ,1,Open Project Activity edit form,Verify systemization and location fields are displayed as checkbox lists,
, ,2,Select multiple systems and locations,Verify selected systems and locations are saved and displayed in the respective fields,
Test Case,FUNC-05: Secondary Panels,,,,,
, ,1,Open Project Activity edit form,Verify secondary panels are present and populated with relevant data,
, ,2,"Verify ""Assets"" secondary tab is present and populated with relevant data",,
, ,3,"Verify ""Systems"" and ""Areas"" secondary tabs are present and populated with relevant data",,
Test Case,FUNC-06: Assign Tasks Functional Button,,,,,
, ,1,Open Project Activity edit form,"Verify ""Assign Tasks"" button is present and functional",
, ,2,"Click the ""Assign Tasks"" button",Verify tasks are assigned correctly based on WBS and systems/subsystems selected,
Test Case,FUNC-07: Project Activity Dynamic Browse Tree,,,,,
, ,1,Open Project Activity edit form,Verify dynamic browse tree is present and populated with relevant data,
, ,2,Navigate through the browse tree,Verify tree navigation is working correctly,
Test Case,VAL-01: Parent Tag Field Validation,,,,,
, ,1,Open Project Activity edit form,Verify parent tag field is required,
, ,2,Leave parent tag field empty,Verify error message is displayed,
Test Case,VAL-02: Suggested Date Field Validation,,,,,
, ,1,Open Project Activity edit form,Verify suggested date field is in the correct format,
, ,2,Enter an invalid suggested date,Verify error message is displayed,
Test Case,REG-01: Backward Compatibility,,,,,
, ,1,Open Project Activity edit form,Verify prior single assignments are still functional,
, ,2,Verify new schema changes do not impact prior single assignments,,
Test Case,UI-01: Project Activity Edit Form Layout,,,,,
, ,1,Open Project Activity edit form,Verify form layout is correct and fields are labeled correctly,
, ,2,Verify field order is logical and accessible labels are present for screen readers,,
Test Case,NEG-01: No Assets Assigned,,,,,
, ,1,Open Project Activity edit form,Verify error message is displayed when no assets are assigned,
, ,2,Leave assets field empty,Verify error message is displayed,
Test Case,NEG-02: Invalid Suggested Date,,,,,
, ,1,Open Project Activity edit form,Verify error message is displayed when an invalid suggested date is entered,
, ,2,Enter an invalid suggested date,Verify error message is displayed,
